predicted	class_name
1.4	LTR
1.4	LTR
1.4	LTR
1.4	LTR
1.1	LTR
1.1	LTR
2.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.5	LTR
1.4	LTR
1.4	LTR
1.1	LTR
1.5	LTR
1.1	LTR
2.1	LTR
1.4	LTR
1.4	LTR
2.1	LTR
1.4	LTR
2.1	LTR
1.4	LTR
2.1	LTR
1.1	LTR
2.1	LTR
1.4	LTR
1.4	LTR
1.5	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.5	LTR
1.1	LTR
1.1	LTR
1.2	LTR
1.4	LTR
1.4	LTR
1.4	LTR
2.1	LTR
1.4	LTR
1.4	LTR
1.4	LTR
1.2	LTR
1.4	LTR
1.1	LTR
1.1	LTR
2.1	LTR
2.1	LTR
2.1	LTR
1.5	LTR
2.1	LTR
1.5	LTR
2.1	LTR
2.1	LTR
1.4	LTR
2.1	LTR
2.1	LTR
2.1	LTR
2.1	LTR
1.5	LTR
2.1	LTR
2.1	LTR
2.1	LTR
2.1	LTR
2.1	LTR
2.1	LTR
2.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.2	LTR
2.1	LTR
2.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.2	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
2.1	LTR
2.1	LTR
1.1	LTR
1.1	LTR
1.1	LTR
2.1	LTR
1.1	LTR
